InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsCancellation
551966,22380,TOY TIDY SPACEBOY,1,2011-05-05 13:14:00,2.1,15356,United Kingdom,False
576090,82580,BATHROOM METAL SIGN,96,2011-11-14 08:56:00,0.92,17450,United Kingdom,False
574298,22952,60 CAKE CASES VINTAGE CHRISTMAS,5,2011-11-03 15:56:00,1.25,,United Kingdom,False
562934,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2,2011-08-10 16:56:00,7.46,,United Kingdom,False
577078,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,2,2011-11-17 15:17:00,3.29,,United Kingdom,False
575930,22621,TRADITIONAL KNITTING NANCY,1,2011-11-11 17:58:00,3.29,,United Kingdom,False
579094,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-11-28 10:56:00,2.95,12668,Germany,False
566603,21802,CHRISTMAS TREE HEART DECORATION,20,2011-09-13 16:12:00,0.42,,United Kingdom,False
563198,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-08-14 10:38:00,2.55,15270,United Kingdom,False
568912,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,6,2011-09-29 13:45:00,1.45,17528,United Kingdom,False
567328,23311,VINTAGE CHRISTMAS STOCKING,6,2011-09-19 14:43:00,2.55,14356,United Kingdom,False
580619,22610,PENS ASSORTED FUNNY FACE,72,2011-12-05 12:08:00,0.19,15053,United Kingdom,False
561897,23147,SINGLE ANTIQUE ROSE HOOK IVORY,4,2011-07-31 15:24:00,1.45,17841,United Kingdom,False
565231,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-09-02 09:26:00,2.95,,United Kingdom,False
547485,22197,SMALL POPCORN HOLDER,4,2011-03-23 11:16:00,0.85,17019,United Kingdom,False
568782,23399,HOME SWEET HOME HANGING HEART,12,2011-09-29 08:53:00,0.85,13985,United Kingdom,False
566308,21790,VINTAGE SNAP CARDS,12,2011-09-12 09:38:00,0.85,15865,United Kingdom,False
548894,22256,FELT FARM ANIMAL CHICKEN,2,2011-04-04 16:01:00,2.46,,United Kingdom,False
574714,23204,CHARLOTTE BAG APPLES DESIGN,2,2011-11-06 14:29:00,0.85,15427,United Kingdom,False
568876,22961,JAM MAKING SET PRINTED,12,2011-09-29 12:24:00,1.45,13881,United Kingdom,False
580049,23535,WALL ART BICYCLE SAFETY,4,2011-12-01 12:54:00,5.95,13599,United Kingdom,False
553417,22798,ANTIQUE GLASS DRESSING TABLE POT,16,2011-05-17 10:08:00,2.95,13871,United Kingdom,False
580822,20973,12 PENCIL SMALL TUBE WOODLAND,1,2011-12-06 11:33:00,0.65,17884,United Kingdom,False
562558,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,2,2011-08-05 16:43:00,3.29,13451,United Kingdom,False
567613,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,32,2011-09-21 11:49:00,0.65,13908,United Kingdom,False
571676,22429,ENAMEL MEASURING JUG CREAM,1,2011-10-18 13:29:00,4.25,16910,United Kingdom,False
568895,22998,TRAVEL CARD WALLET KEEP CALM,2,2011-09-29 13:11:00,0.42,15356,United Kingdom,False
572069,23353,6 GIFT TAGS VINTAGE CHRISTMAS,12,2011-10-20 13:24:00,0.83,14911,EIRE,False
569124,22583,PACK OF 6 HANDBAG GIFT BOXES,6,2011-09-30 13:15:00,2.55,15172,United Kingdom,False
567656,22993,SET OF 4 PANTRY JELLY MOULDS,4,2011-09-21 14:40:00,2.46,14096,United Kingdom,False
569825,22627,MINT KITCHEN SCALES,2,2011-10-06 12:23:00,8.5,15805,United Kingdom,False
539315,22072,RED RETROSPOT TEA CUP AND SAUCER,4,2010-12-16 18:23:00,3.75,18260,United Kingdom,False
548194,21980,PACK OF 12 RED RETROSPOT TISSUES,11,2011-03-29 15:30:00,0.83,,United Kingdom,False
538071,21944,KITTENS DESIGN FLANNEL,2,2010-12-09 14:09:00,1.66,,United Kingdom,False
558772,22628,PICNIC BOXES SET OF 3 RETROSPOT,1,2011-07-03 16:00:00,4.95,15007,United Kingdom,False
561022,23005,TRAVEL CARD WALLET I LOVE LONDON,24,2011-07-24 10:24:00,0.42,14800,United Kingdom,False
573361,84826,ASSTD DESIGN 3D PAPER STICKERS,8,2011-10-30 12:53:00,0.85,14456,United Kingdom,False
564167,23322,LARGE WHITE HEART OF WICKER,6,2011-08-23 13:50:00,2.95,17735,United Kingdom,False
541858,22029,SPACEBOY BIRTHDAY CARD,12,2011-01-23 15:34:00,0.42,16983,United Kingdom,False
542664,21407,BROWN CHECK CAT DOORSTOP,1,2011-01-31 12:14:00,8.29,,United Kingdom,False
569383,20725,LUNCH BAG RED RETROSPOT,20,2011-10-03 16:46:00,1.65,15159,United Kingdom,False
572194,21181,PLEASE ONE PERSON METAL SIGN,1,2011-10-21 11:43:00,2.1,17832,United Kingdom,False
559923,90161D,ANT COPPER PINK BOUDICCA BRACELET,1,2011-07-13 16:07:00,4.98,,United Kingdom,False
561869,22804,CANDLEHOLDER PINK HANGING HEART,2,2011-07-31 11:38:00,2.95,16764,United Kingdom,False
559379,79337,,-8,2011-07-08 10:42:00,0.0,,United Kingdom,False
546430,22317,FIVE CATS HANGING DECORATION,2,2011-03-13 15:55:00,2.95,15918,United Kingdom,False
577142,21240,BLUE POLKADOT CUP,8,2011-11-18 09:19:00,0.85,13985,United Kingdom,False
549023,22535,MAGIC DRAWING SLATE BUNNIES,1,2011-04-05 16:27:00,0.83,,United Kingdom,False
574885,23570,TRADITIONAL PICK UP STICKS GAME,12,2011-11-07 14:01:00,1.25,12472,Germany,False
569148,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,2011-09-30 15:52:00,3.25,16613,United Kingdom,False
561194,22729,ALARM CLOCK BAKELIKE ORANGE,4,2011-07-25 13:54:00,3.75,13814,Germany,False
577169,22321,BIRD DECORATION RED RETROSPOT,12,2011-11-18 10:42:00,0.85,14641,United Kingdom,False
539314,22822,CREAM WALL PLANTER HEART SHAPED,2,2010-12-16 18:20:00,5.95,13874,United Kingdom,False
568994,22630,DOLLY GIRL LUNCH BOX,12,2011-09-29 16:52:00,1.95,12598,France,False
578026,22582,PACK OF 6 SWEETIE GIFT BOXES,6,2011-11-22 13:29:00,2.55,17659,United Kingdom,False
553178,84592,CROCHET ROSE PURSE WITH SUEDE BACK,1,2011-05-15 11:29:00,2.95,17302,United Kingdom,False
563569,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,2011-08-17 14:47:00,4.15,18257,United Kingdom,False
555558,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,2,2011-06-05 14:06:00,0.42,14159,United Kingdom,False
555092,22621,TRADITIONAL KNITTING NANCY,3,2011-05-31 13:08:00,1.65,16483,United Kingdom,False
544286,22423,REGENCY CAKESTAND 3 TIER,2,2011-02-17 12:29:00,12.75,13151,United Kingdom,False
559318,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-07-07 14:08:00,0.95,18013,United Kingdom,False
572028,20719,WOODLAND CHARLOTTE BAG,10,2011-10-20 11:47:00,0.85,15296,United Kingdom,False
548874,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,24,2011-04-04 15:18:00,1.25,17716,United Kingdom,False
578149,84988,SET OF 72 PINK HEART PAPER DOILIES,1,2011-11-23 11:11:00,3.75,,United Kingdom,False
542098,22565,FELTCRAFT HAIRBANDS PINK AND WHITE,12,2011-01-25 13:04:00,0.85,16531,United Kingdom,False
577514,20972,PINK CREAM FELT CRAFT TRINKET BOX,12,2011-11-20 13:00:00,1.25,16212,United Kingdom,False
C553030,22149,FELTCRAFT 6 FLOWER FRIENDS,-1,2011-05-12 19:42:00,2.1,18142,United Kingdom,True
563557,21982,PACK OF 12 SUKI TISSUES,24,2011-08-17 13:33:00,0.29,15786,United Kingdom,False
580043,22946,WOODEN ADVENT CALENDAR CREAM,1,2011-12-01 12:25:00,16.95,14527,United Kingdom,False
548987,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2011-04-05 12:50:00,1.25,14535,United Kingdom,False
538497,22563,HAPPY STENCIL CRAFT,1,2010-12-12 12:44:00,1.25,14684,United Kingdom,False
559816,21447,12 IVORY ROSE PEG PLACE SETTINGS,1,2011-07-12 16:11:00,2.46,,United Kingdom,False
578324,23479,WIRE EGG BASKET,2,2011-11-23 17:32:00,7.85,17530,United Kingdom,False
562444,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,4,2011-08-04 18:44:00,1.45,14713,United Kingdom,False
559691,22715,CARD WEDDING DAY,12,2011-07-11 15:52:00,0.42,13089,United Kingdom,False
549283,22635,CHILDS BREAKFAST SET DOLLY GIRL,2,2011-04-07 13:32:00,9.95,13005,United Kingdom,False
558475,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,3,2011-06-29 15:58:00,0.63,,United Kingdom,False
566261,22690,DOORMAT HOME SWEET HOME BLUE,2,2011-09-11 12:46:00,7.95,13372,United Kingdom,False
547649,22084,PAPER CHAIN KIT EMPIRE,2,2011-03-24 12:02:00,2.95,18118,United Kingdom,False
C540307,22109,FULL ENGLISH BREAKFAST PLATE,-24,2011-01-06 12:58:00,3.39,15823,United Kingdom,True
544476,21908,CHOCOLATE THIS WAY METAL SIGN,2,2011-02-21 09:58:00,2.1,14796,United Kingdom,False
552891,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-05-12 10:45:00,9.95,14681,United Kingdom,False
575659,22119,PEACE WOODEN BLOCK LETTERS,3,2011-11-10 14:35:00,6.95,13576,United Kingdom,False
578030,48173C,DOORMAT BLACK FLOCK,10,2011-11-22 13:40:00,7.08,15498,United Kingdom,False
565806,15056N,EDWARDIAN PARASOL NATURAL,3,2011-09-07 10:51:00,5.95,15594,United Kingdom,False
560700,23203,JUMBO BAG DOILEY PATTERNS,2,2011-07-20 12:38:00,2.08,17229,United Kingdom,False
561195,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-07-25 13:57:00,2.95,14796,United Kingdom,False
553549,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-05-17 16:09:00,5.79,,United Kingdom,False
